# CO2 4.3µm, p=1013hPa T=296K. nu  sigma_Voigt_noLM  sigma_lineMixing
2337.24  5.659222776058444e-19  5.717209143577925e-19
2337.26  6.039944150591002e-19  6.095548479611553e-19
2337.28  6.500649865259027e-19  6.553755802488286e-19
2337.3  7.056910150995761e-19  7.107358852663124e-19
2337.32  7.725979828526893e-19  7.773572249478158e-19
2337.34  8.530585608679739e-19  8.575083209223084e-19
2337.36  9.501655506219171e-19  9.54277750264494e-19
2337.38  1.0681317852643828e-18  1.071873560991743e-18
2337.4  1.212708482266268e-18  1.2160414159716745e-18
2337.42  1.3917989497102474e-18  1.3946781808263877e-18
2337.44  1.6163675586603941e-18  1.6187410773527696e-18
2337.46  1.9018318581417314e-18  1.9036408005700363e-18
2337.48  2.2702630778150325e-18  2.271444115160503e-18
2337.5  2.753643514720634e-18  2.7541342097933255e-18
2337.52  3.3981539699629696e-18  3.3979044667251194e-18
2337.54  4.2693167918430336e-18  4.26831807353675e-18
2337.56  5.4557839060052256e-18  5.454131942552218e-18
2337.58  7.05881464959189e-18  7.056841231907615e-18
2337.6  9.127060075703643e-18  9.12555996611874e-18
2337.62  1.1468769508283778e-17  1.1469250569545165e-17
2337.64  1.3385751672214247e-17  1.3390273228395976e-17
2337.66  1.3854373450471338e-17  1.3864364493526188e-17
2337.68  1.255877670017632e-17  1.2573716744302865e-17
2337.7  1.0309172680713567e-17  1.0327112678587945e-17
2337.72  8.052372429908595e-18  8.071450420865097e-18
2337.74  6.212314186922239e-18  6.23140244312621e-18
2337.76  4.830058184569434e-18  4.848636071067879e-18
2337.78  3.816882494407266e-18  3.834768793056804e-18
2337.8  3.07284742785726e-18  3.090014511065733e-18
2337.82  2.5194629231189253e-18  2.535937605842431e-18
2337.84  2.1011641080038605e-18  2.1169869432715018e-18
2337.86  1.7787830490348743e-18  1.7939983934544622e-18
2337.88  1.5246840369521366e-18  1.5393413973281457e-18
2337.9  1.3208894725397636e-18  1.335043133205417e-18
2337.92  1.1561333825881987e-18  1.1698355064025283e-18
2337.94  1.0223077090397112e-18  1.0356027873653803e-18
2337.96  9.129747362395405e-19  9.258990578545657e-19
2337.98  8.230944489140406e-19  8.356776720299506e-19
2338.0  7.488293625769046e-19  7.610962170867719e-19
2338.02  6.872692172351595e-19  6.992412916640726e-19
2338.04  6.361896625115737e-19  6.478881339541437e-19
2338.06  5.939588654912044e-19  6.05408808519003e-19
2338.08  5.594818976807609e-19  5.707177830324919e-19
2338.1  5.319145868334906e-19  5.429871701263541e-19
2338.12  5.101775028202889e-19  5.211618718676947e-19
2338.14  4.924279562479168e-19  5.034255985355695e-19
2338.16  4.758075636744274e-19  4.869270589010147e-19
2338.18  4.573354837355365e-19  4.68646040871093e-19
2338.2  4.358835827972419e-19  4.473752395203497e-19
2338.22  4.128933434630417e-19  4.244895662251764e-19
2338.24  3.907517765155187e-19  4.023591300967881e-19
2338.26  3.7111397847823736e-19  3.8265900366322134e-19
2338.28  3.546613663333557e-19  3.6609946925447534e-19
2338.3  3.415387926203537e-19  3.5284794683876926e-19
2338.32  3.316910512039071e-19  3.428629510546075e-19
2338.34  3.2504233227145367e-19  3.360760672389871e-19
2338.36  3.2155483959738124e-19  3.324533833665166e-19
2338.38  3.210986876566711e-19  3.3186718468369533e-19
2338.4  3.2298862611260626e-19  3.3363366924506394e-19
2338.42  3.254751308864074e-19  3.3600516402614805e-19
2338.44  3.265179644360439e-19  3.3694448921568474e-19
2338.46  3.255905085096098e-19  3.3592678110505745e-19
2338.48  3.2338384771858375e-19  3.336376336619323e-19
2338.5  3.2037516504242953e-19  3.305410335981662e-19
2338.52  3.164056098643427e-19  3.2646851338605357e-19
2338.54  3.11052735962457e-19  3.2100179465333175e-19
2338.56  3.0509267961466703e-19  3.1492866441264036e-19
