# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3800.84  3.49823220100711e-20  3.492350497209492e-20
3800.844  3.5283173633785904e-20  3.521652886714273e-20
3800.848  3.559197369723457e-20  3.551911356968755e-20
3800.852  3.591102566130229e-20  3.5833482343768665e-20
3800.856  3.6241964455391287e-20  3.6161027444807293e-20
3800.86  3.6585849033008176e-20  3.650247466714417e-20
3800.864  3.6943288942791057e-20  3.6858070746923144e-20
3800.868  3.731457931733446e-20  3.722776708398254e-20
3800.872  3.769982627791437e-20  3.761138209831911e-20
3800.876  3.809905150758523e-20  3.800873010033728e-20
3800.88  3.851227029508297e-20  3.84197092735912e-20
3800.884  3.8939541847794585e-20  3.884434701087262e-20
3800.888  3.938099436923823e-20  3.928280740088927e-20
3800.892  3.9836829658541376e-20  3.97353708360724e-20
3800.896  4.030731390137874e-20  4.020239887328529e-20
3800.9  4.079276091410771e-20  4.068429608023956e-20
3800.904  4.129351348600651e-20  4.118147748548982e-20
3800.908  4.180992677113799e-20  4.169434586067063e-20
3800.912  4.2342355948149326e-20  4.222327944736637e-20
3800.916  4.289114884452809e-20  4.2768628470341683e-20
3800.92  4.345664314800156e-20  4.333071785813752e-20
3800.924  4.4039167240763344e-20  4.390985361829476e-20
3800.928  4.463904350327479e-20  4.450633081877143e-20
3800.932  4.5256593016183995e-20  4.512044176692744e-20
3800.936  4.5892140802804535e-20  4.5752483548689175e-20
3800.94  4.65460210074011e-20  4.6402764522034134e-20
3800.944  4.721858163818875e-20  4.7071609647460537e-20
3800.948  4.79101886867821e-20  4.7759364705693335e-20
3800.952  4.862122957180238e-20  4.8466399543247804e-20
3800.956  4.935211593811723e-20  4.9193110518275236e-20
3800.96  5.01032859027714e-20  4.993992233244354e-20
3800.964  5.0875205835555604e-20  5.0707289395294847e-20
3800.968  5.166837180600647e-20  5.149569688533559e-20
3800.972  5.2483310780914096e-20  5.230566160710814e-20
3800.976  5.332058166423238e-20  5.313773274045335e-20
3800.98  5.418077624904722e-20  5.3992492549738773e-20
3800.984  5.506452013338952e-20  5.487055709983372e-20
3800.988  5.597247364160863e-20  5.577601753405921e-20
3800.992  5.690533278076314e-20  5.670280619438619e-20
3800.996  5.786383025365035e-20  5.765496369169106e-20
3801.0  5.884873654674304e-20  5.863324980718046e-20
3801.004  5.986086110376119e-20  5.963846270977316e-20
3801.008  6.090105359668987e-20  6.067144016220883e-20
3801.012  6.197020530218143e-20  6.173306084028034e-20
3801.016  6.306925058995136e-20  6.282424576943129e-20
3801.02  6.419916853145884e-20  6.394595988505949e-20
3801.024  6.53609846324059e-20  6.509921371863368e-20
3801.028  6.655577269659364e-20  6.62850652159321e-20
3801.032  6.778465682619998e-20  6.750462169158288e-20
3801.036  6.904881356347597e-20  6.875695336783732e-20
3801.04  7.034977837544439e-20  7.004770429598268e-20
3801.044  7.168823143971693e-20  7.137549860149131e-20
3801.048  7.306582506306786e-20  7.274196216497347e-20
3801.052  7.448397002862509e-20  7.414848665598126e-20
3801.056  7.594414262096249e-20  7.55965251677863e-20
3801.06  7.744788775839074e-20  7.70875981615804e-20
3801.064  7.899682231515948e-20  7.86232967304751e-20
3801.068  8.059263864511393e-20  8.02052860627531e-20
3801.072  8.223710831536662e-20  8.183530911308367e-20
3801.076  8.39320860561798e-20  8.351519048801714e-20
3801.08  8.567951394613101e-20  8.524684056513977e-20
3801.084  8.748142585202447e-20  8.703225986563038e-20
3801.088  8.933995204779714e-20  8.887354360490056e-20
3801.092  9.125732430837774e-20  9.077288671779868e-20
3801.096  9.323588092980633e-20  9.27325846160994e-20
3801.1  9.527807237254077e-20  9.475505580563798e-20
3801.104  9.738646704429745e-20  9.684282162582245e-20
3801.108  9.956375743276777e-20  9.899852993047933e-20
3801.112  1.0181276656722594e-19  1.012249640286029e-19
3801.116  1.041364548259979e-19  1.0352502163055451e-19
3801.12  1.0653792709781995e-19  1.0590176330461913e-19
3801.124  1.090204403132622e-19  1.0835839265939163e-19
3801.128  1.115874113567782e-19  1.108982710051548e-19
3801.132  1.142424253685135e-19  1.1352492565171822e-19
3801.136  1.169892444494497e-19  1.1624205862963528e-19
3801.14  1.1983181677130947e-19  1.1905355584070945e-19
3801.144  1.2277428560894383e-19  1.2196349616069742e-19
3801.148  1.2582100124380773e-19  1.2497616344890125e-19
3801.152  1.2897652836316142e-19  1.2809605409641186e-19
3801.156  1.3224565878158225e-19  1.3132788494412827e-19
3801.16  1.3563342209295182e-19  1.3467662406457755e-19
3801.164  1.3914509718675772e-19  1.3814747302360359e-19
3801.168  1.4278622410340986e-19  1.4174589873787338e-19
3801.172  1.4656261619497166e-19  1.4547764129238733e-19
3801.176  1.504803725306163e-19  1.4934872698151358e-19
3801.18  1.5454589048484913e-19  1.5336548167013134e-19
3801.184  1.5876587842060676e-19  1.575345451261097e-19
3801.188  1.6314736835727335e-19  1.6186288191339892e-19
3801.192  1.676977284980668e-19  1.6635779964650044e-19
3801.196  1.724246754445817e-19  1.7102695983419744e-19
3801.2  1.773362859079489e-19  1.758783922182164e-19
3801.204  1.8244100768110173e-19  1.8092050795991995e-19
3801.208  1.8774766954962277e-19  1.8616211215103237e-19
3801.212  1.9326548988942107e-19  1.9161241545306473e-19
3801.216  1.9900408342308832e-19  1.9728104440058826e-19
3801.22  2.0497346574335757e-19  2.0317805004689252e-19
3801.224  2.1118405499961334e-19  2.093139144255333e-19
3801.228  2.176466700814446e-19  2.15699554246539e-19
3801.232  2.2437252452876566e-19  2.223463211484902e-19
3801.236  2.3137321524416954e-19  2.292659968088231e-19
3801.24  2.3866070496171594e-19  2.3647078724160953e-19
3801.244  2.4624729724813813e-19  2.439733018742442e-19
3801.248  2.5414560262752477e-19  2.5178653397112953e-19
3801.252  2.6236849423458414e-19  2.599238273914075e-19
3801.256  2.7092905114798545e-19  2.683988333778805e-19
3801.26  2.7984048734425203e-19  2.7722545447144437e-19
3801.264  2.8911606392879973e-19  2.8641777324905816e-19
3801.268  2.9876898205670776e-19  2.9598996329481406e-19
3801.272  3.088122536417109e-19  3.059561794373788e-19
3801.276  3.1925854671228193e-19  3.163304239622307e-19
3801.28  3.301200019947759e-19  3.2712638511495725e-19
3801.284  3.414080170762291e-19  3.3835724383770277e-19
3801.288  3.531329943559358e-19  3.5003544434970293e-19
3801.292  3.653040488702905e-19  3.6217242382503613e-19
3801.296  3.7792867216285644e-19  3.747782962219893e-19
3801.3  3.9101234856487587e-19  3.8786148517005703e-19
3801.304  4.045581206973004e-19  4.014283008672148e-19
3801.308  4.1856610178105287e-19  4.154824562627334e-19
3801.312  4.3303293340990737e-19  4.3002451837286756e-19
3801.316  4.479511890705458e-19  4.450512916891869e-19
3801.32  4.633087257947043e-19  4.6055513223544e-19
3801.324  4.790879890495596e-19  4.765231931113268e-19
3801.328  4.952652795703928e-19  4.92936605661659e-19
3801.332  5.118099948281589e-19  5.097696043384663e-19
3801.336  5.28683863020702e-19  5.26988608825197e-19
3801.34  5.458401930945706e-19  5.445512834264135e-19
3801.344  5.632231703729112e-19  5.624056012839428e-19
